group,name,resultDir,mode,solver,feasible,status,objective,chipWidth,chipHeight,chipArea,totalWirelength,runtimeSeconds,iterations,seed,epochLength,initialTemperature,initialTemperatureUsed,epochLengthUsed,autoTemperature,totalMoves,acceptedMoves,coolingRatio,numBlocks,numNets,hasFixedOutline
out,ami33_debug,out/ami33_debug,SA-LP,highs,True,lp_optimal,105302.0,1326.0,1205.0,1597830.0,102771.0,31.778995,1000,1,100,,,,,,,0.95,33,121,True
out,ami33_highs,out/ami33_highs,SA-LP,highs,False,Infeasible,,0.0,0.0,0.0,0.0,17.860101,1000,1,100,,,,,,,0.95,33,121,True
out,ami33_highs_long,out/ami33_highs_long,SA-LP,highs,False,Infeasible,,0.0,0.0,0.0,0.0,86.272158,100000,1,100,,,,,,,0.95,33,121,True
out,ami33_mosek_check,out/ami33_mosek_check,SA-LP,highs,False,Infeasible,,0.0,0.0,0.0,0.0,17.57251,1000,1,100,,,,,,,0.95,33,121,True
out,ami33_sactlp_debug,out/ami33_sactlp_debug,SA-CT-LP,highs,True,lp_optimal,107872.0,1326.0,1205.0,1597830.0,105341.0,8.469728,1000,1,100,,,,,,,0.95,33,121,True
out,ami49_highs,out/ami49_highs,SA-LP,highs,False,Infeasible,,0.0,0.0,0.0,0.0,49.27063,1000,1,100,,,,,,,0.95,49,396,True
out,ami49_mosek_check,out/ami49_mosek_check,SA-LP,highs,False,Infeasible,,0.0,0.0,0.0,0.0,49.70769,1000,1,100,,,,,,,0.95,49,396,True
out,apte_best_practices_check,out/apte_best_practices_check,SA-CT-LP,highs,True,lp_optimal,868800.0,11894.0,6314.0,75098716.0,850592.0,0.16113,50,1,100,100.0,,,True,,,0.95,9,96,True
out,apte_highs,out/apte_highs,SA-LP,highs,True,lp_optimal,726791.0,11894.0,6314.0,75098716.0,708583.0,5.642832,1000,1,100,,,,,,,0.95,9,96,True
out,apte_metadata_check,out/apte_metadata_check,SA-CT-LP,highs,True,lp_optimal,898552.0,11894.0,6314.0,75098716.0,880344.0,0.135141,5,1,100,100.0,5058108648.441597,100,True,5,5,0.95,9,96,True
out,apte_mosek_check,out/apte_mosek_check,SA-LP,highs,True,lp_optimal,726791.0,11894.0,6314.0,75098716.0,708583.0,5.653973,1000,1,100,,,,,,,0.95,9,96,True
out,apte_script_check,out/apte_script_check,SA-CT-LP,highs,True,lp_optimal,898552.0,11894.0,6314.0,75098716.0,880344.0,0.134878,10,1,100,100.0,,,True,,,0.95,9,96,True
out,apte_soft_check,out/apte_soft_check,SA-CT-LP,highs,True,lp_optimal,822445.741779,11894.0,6314.0,75098716.0,804237.741779,0.381093,200,1,100,,,,,,,0.95,9,96,True
out,apte_soft_check2,out/apte_soft_check2,SA-CT-LP,highs,True,lp_optimal,823127.213177,11894.0,6314.0,75098716.0,804919.213177,0.245633,100,1,100,,,,,,,0.95,9,96,True
out,ct,out/ct,CT,none,True,compact_feasible,58.740115,17.727922,14.142136,250.710678,26.870058,7.3e-05,10000,1,100,,,,,,,0.95,3,3,False
out,lp,out/lp,LP,highs,True,lp_optimal,54.59798,17.732708,14.132563,250.608616,22.732708,0.013616,10000,1,100,,,,,,,0.95,3,3,False
out,lp_mosek_check,out/lp_mosek_check,LP,highs,True,lp_optimal,54.59798,17.732708,14.132563,250.608616,22.732708,0.012941,10000,1,100,,,,,,,0.95,3,3,False
mcnc_SA-CT-LP,ami33_highs,out/mcnc_SA-CT-LP/ami33_highs,SA-CT-LP,highs,True,lp_optimal,107872.0,1326.0,1205.0,1597830.0,105341.0,8.524704,1000,1,100,,,,,,,0.95,33,121,True
mcnc_SA-CT-LP,ami33_mosek,out/mcnc_SA-CT-LP/ami33_mosek,SA-CT-LP,highs,True,lp_optimal,107872.0,1326.0,1205.0,1597830.0,105341.0,8.395235,1000,1,100,,,,,,,0.95,33,121,True
mcnc_SA-CT-LP,ami49_highs,out/mcnc_SA-CT-LP/ami49_highs,SA-CT-LP,highs,False,compact_aspect_or_outline_violation,1089031829.020989,5782.0,8092.0,46787944.0,1683997.0,27.027831,1000,1,100,,,,,,,0.95,49,396,True
mcnc_SA-CT-LP,ami49_mosek,out/mcnc_SA-CT-LP/ami49_mosek,SA-CT-LP,highs,False,compact_aspect_or_outline_violation,1089031829.020989,5782.0,8092.0,46787944.0,1683997.0,25.708399,1000,1,100,,,,,,,0.95,49,396,True
mcnc_SA-CT-LP,apte_highs,out/mcnc_SA-CT-LP/apte_highs,SA-CT-LP,highs,True,lp_optimal,748034.0,11894.0,6314.0,75098716.0,729826.0,0.55254,1000,1,100,,,,,,,0.95,9,96,True
mcnc_SA-CT-LP,apte_mosek,out/mcnc_SA-CT-LP/apte_mosek,SA-CT-LP,highs,True,lp_optimal,748034.0,11894.0,6314.0,75098716.0,729826.0,0.560329,1000,1,100,,,,,,,0.95,9,96,True
mcnc_SA-CT-LP,hp_highs,out/mcnc_SA-CT-LP/hp_highs,SA-CT-LP,highs,True,lp_optimal,253727.0,5412.0,3704.0,20046048.0,244611.0,0.757525,1000,1,100,,,,,,,0.95,11,70,True
mcnc_SA-CT-LP,hp_mosek,out/mcnc_SA-CT-LP/hp_mosek,SA-CT-LP,highs,True,lp_optimal,253727.0,5412.0,3704.0,20046048.0,244611.0,0.792419,1000,1,100,,,,,,,0.95,11,70,True
mcnc_SA-CT-LP,xerox_highs,out/mcnc_SA-CT-LP/xerox_highs,SA-CT-LP,highs,True,lp_optimal,572976.5,6937.0,5379.0,37314123.0,560660.5,0.824429,1000,1,100,,,,,,,0.95,10,182,True
mcnc_SA-CT-LP,xerox_mosek,out/mcnc_SA-CT-LP/xerox_mosek,SA-CT-LP,highs,True,lp_optimal,572976.5,6937.0,5379.0,37314123.0,560660.5,0.810585,1000,1,100,,,,,,,0.95,10,182,True
out,mcnc_apte,out/mcnc_apte,SA-CT-LP,highs,False,compact_aspect_or_outline_violation,3871488309.246679,9478.0,7608.0,72108624.0,923384.0,0.112579,200,1,100,,,,,,,0.95,9,96,True
out,mcnc_apte_sa_lp,out/mcnc_apte_sa_lp,SA-LP,highs,True,lp_optimal,726791.0,11894.0,6314.0,75098716.0,708583.0,5.538035,1000,1,100,,,,,,,0.95,9,96,True
run_all_smoke,apte_highs,out/run_all_smoke/apte_highs,SA-CT-LP,highs,True,lp_optimal,879041.0,11894.0,6314.0,75098716.0,860833.0,0.039841,50,1,100,,,,,,,0.95,9,96,True
out,sa_ct,out/sa_ct,SA-CT,none,True,compact_feasible,58.740115,17.727922,14.142136,250.710678,26.870058,0.02441,1000,1,100,,,,,,,0.95,3,3,False
out,sa_ct_check,out/sa_ct_check,SA-CT,none,True,compact_feasible,58.740115,17.727922,14.142136,250.710678,26.870058,0.021507,200,1,100,,,,,,,0.95,3,3,False
out,sa_ct_lp,out/sa_ct_lp,SA-CT-LP,highs,True,lp_optimal,54.59798,17.732708,14.132563,250.608616,22.732708,0.152814,1000,1,100,,,,,,,0.95,3,3,False
out,sa_lp,out/sa_lp,SA-LP,highs,True,lp_optimal,54.59798,17.732708,14.132563,250.608616,22.732708,5.208988,1000,1,100,,,,,,,0.95,3,3,False
out,smoke_apte_sactlp,out/smoke_apte_sactlp,SA-CT-LP,highs,True,lp_optimal,825809.0,11894.0,6314.0,75098716.0,807601.0,0.126949,200,1,100,,,,,,,0.95,9,96,True
,out,out,,,False,compact_aspect_or_outline_violation,58.940686,21.727171,10.0,217.271713,27.213514,0.020964,,,,,,,,,,,,,
